Task,Training Accuracy,Validation Accuracy,Testing Accuracy,Best Epoch
1,0.9988888888888889,1.0,0.986,30
2,0.9233333333333333,0.57,0.317,160
3,0.9833333333333333,0.42,0.306,40
4,0.9188888888888889,0.72,0.684,40
5,0.9933333333333333,0.85,0.771,50
6,1.0,1.0,0.979,20
7,0.9844444444444445,0.9,0.802,50
8,1.0,0.95,0.856,190
9,0.9988888888888889,1.0,0.981,60
10,0.9966666666666667,0.95,0.932,30
11,0.9888888888888889,0.95,0.885,30
12,0.9988888888888889,0.99,0.981,50
13,0.9922222222222222,0.93,0.889,110
14,0.9922222222222222,0.87,0.786,30
15,0.9744444444444444,0.71,0.432,100
16,0.9755555555555555,0.46,0.443,10
17,0.7855555555555556,0.67,0.57,40
18,0.8622222222222222,0.62,0.502,80
19,0.31444444444444447,0.09,0.084,10
20,1.0,1.0,1.0,20
